B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B3	B32	B33	B34	B4	B5	B6	B7	B8	B9
B4U62_00775	7179	5010	4256	4628	3191	1970	1876	3098	2144	3440	1727	5042	1797	2469	3807	92	88	455	1675	1494	200	5432	10455	7915	12496	3281	4207	3278	4393	2758	3546
B4U62_00780	11108	8222	6805	7330	5295	3212	3040	4751	3282	5233	2920	7595	2949	4043	5812	289	299	987	2659	2266	286	8360	16393	12974	21346	6941	5923	5138	6743	4208	5263
B4U62_00785	8541	5721	5175	5433	4213	2659	2422	3378	2512	3951	2194	5798	2552	3435	4243	229	208	696	1967	1516	194	6114	12569	9596	15207	5179	4898	4335	5079	3145	3744
B4U62_00790	17637	13300	11054	12105	8433	5363	4942	7412	5408	8553	4631	12531	5622	6880	9123	773	858	1879	4730	3567	581	13020	26258	19732	32030	11044	10901	8322	11028	6802	8587
B4U62_00795	3804	2451	2100	2308	1702	1187	1199	1473	1070	1631	1031	2455	1221	1627	2002	95	90	323	1013	747	127	2719	4904	3831	6420	2351	2131	1967	2124	1353	1675
B4U62_00800	13112	8738	7383	8298	6265	3889	3626	5487	3796	6119	3392	9126	4019	5386	6689	235	231	950	2904	2377	444	9788	18951	14373	23050	8261	8479	6661	8030	5239	6175
B4U62_00805	17523	12824	10667	11723	8204	4894	4845	7475	5144	8359	4454	12173	5595	7018	9229	648	699	1739	4858	3536	397	13023	25322	18790	32229	13102	11801	10049	10768	6780	8394
B4U62_00810	10415	7504	6656	6797	4840	3285	2944	4390	3097	4874	2798	7398	3440	4360	5424	531	555	1295	3087	2030	225	7887	16009	12770	20629	8908	7564	5984	6565	4176	4783
B4U62_00815	14026	10372	8839	9452	6427	3966	3935	6118	4145	6624	3799	10306	4627	5527	6981	504	647	1515	4064	2796	318	10212	20730	15919	25731	12310	10822	9684	8918	5682	6961
B4U62_00820	2900	2152	1786	1860	1194	769	763	1283	1003	1357	762	2111	653	869	1350	49	51	181	635	519	29	2130	3180	2845	4498	2131	2314	1641	1744	1150	1437
B4U62_00825	15457	11462	9964	10298	7290	5097	4594	7377	5498	8125	5194	11855	5518	6347	8267	500	570	1791	5045	3640	296	11718	24274	19200	31635	14378	12253	10974	9760	6519	8379
B4U62_00830	54323	37513	34462	32869	21795	15428	13940	24788	16103	26349	16131	44037	17421	20642	25531	3523	4428	8153	16607	13288	1930	40537	30533	23598	39966	41139	44497	37642	42231	27500	37983
B4U62_00835	22989	16663	14385	14522	9931	6945	6457	10596	7385	11316	7176	18811	8070	9448	11289	825	977	3063	7175	5324	699	17509	6705	5241	8620	17040	19042	14628	18644	12273	16001
B4U62_00840	24895	16171	14864	14140	10230	7109	6514	11936	7675	12429	7946	19319	8065	10072	12277	934	951	2782	6192	4923	386	17884	4981	3865	6675	13338	14105	11094	16820	10313	14568
B4U62_00845	6857	4416	4375	4063	2631	2273	1998	3234	2303	3846	2216	5430	2247	2822	4156	135	144	649	1882	1567	269	5268	1329	1157	1600	3444	4062	2867	4639	2849	3784
B4U62_00850	6169	3842	4069	3662	2642	2107	1828	2887	2171	3584	2033	4952	2086	2661	3572	162	163	729	1689	1291	274	4833	1175	976	1468	3553	3753	2836	4490	2550	3209
B4U62_00855	1562	935	1072	1014	673	433	522	694	450	721	497	1115	429	506	905	32	30	118	342	301	19	1148	228	228	297	1072	928	1044	1053	634	907
B4U62_00860	11812	9769	7670	7861	5578	4411	4146	6128	4316	6791	4446	9741	3780	4807	7149	510	499	1203	3199	2705	204	8895	2544	2042	3343	10183	9120	7759	7244	4870	7531
B4U62_00865	19384	14565	13384	12936	10389	7633	6753	10079	7095	11367	8203	17323	7378	8615	11555	854	1109	2401	5940	4184	425	15758	6538	5492	8295	17498	16198	14166	13663	8537	12195
B4U62_00870	71245	51480	44758	45208	38381	28712	25117	37189	25636	41532	28148	65829	24346	27765	38365	1958	2422	6164	16748	13681	1508	57449	25962	22076	32012	59385	54189	48055	47209	30678	45834
B4U62_00875	20417	15045	12376	13557	10583	8050	7565	9360	7195	11207	7734	21263	6079	6953	9630	338	470	1564	4331	3842	322	18070	9608	8427	11268	16437	13969	13795	13736	9535	14148
B4U62_00880	1387	1694	1634	1404	1462	1226	1060	1350	1064	1646	1204	1181	1085	1191	1712	140	129	256	699	530	53	1147	618	559	815	769	859	729	1223	835	1211
B4U62_00885	1759	1535	1379	1300	1341	1152	987	1102	903	1463	1066	1482	1033	1145	1540	187	166	274	707	530	81	1389	866	728	889	870	930	827	1206	837	1260
B4U62_00890	1794	1447	1375	1165	996	782	694	1154	762	1271	827	1678	684	767	1235	77	63	266	567	471	42	1516	539	551	708	630	883	758	1350	929	1393
B4U62_00895	6260	2737	2485	2250	2014	1635	1427	2519	1963	3133	1862	5979	1341	1633	2162	323	297	397	920	694	52	5472	516	497	677	2309	2384	2245	3483	2393	3613
B4U62_00900	60340	33192	30749	28317	26006	20631	17648	25009	17324	31717	16645	63196	10118	14081	19769	730	798	2417	8001	6828	470	53357	11083	8946	12535	19254	23087	20917	37580	23807	38278
B4U62_00905	41359	24085	21583	20840	20198	17373	14009	17156	13411	23596	13170	47843	7450	9512	13884	1264	1363	1988	6674	4906	310	39359	14763	12759	16997	14149	16797	15726	27444	17967	27747
B4U62_00910	7317	7166	7444	7231	5896	5156	4046	3428	2982	3820	7037	9572	3015	3334	1783	82	70	208	964	938	63	6442	189	184	285	2216	2709	3049	7907	4271	7170
B4U62_00915	77	361	321	352	851	889	689	683	618	907	579	86	544	426	341	11	9	47	82	108	43	39	21	23	51	33	35	37	137	77	125
B4U62_00920	137	885	941	878	2008	1990	1429	1875	1656	2113	1618	144	1787	1794	1446	147	125	110	197	194	27	106	28	31	124	66	63	65	202	124	195
B4U62_00925	13509	16464	15218	15017	15779	14899	11576	12596	10859	15397	16030	16209	10091	11447	13139	1578	1866	2584	7241	6041	444	12101	3941	3408	4252	21273	18668	18948	15910	11631	15605
B4U62_00930	920	3161	2966	2904	4309	3989	3214	3613	2815	4583	3133	815	2603	2685	3563	543	683	1100	2211	1690	218	805	894	782	1077	1603	1915	1565	1762	1360	1888
B4U62_00935	520	1263	1572	1325	1900	2021	1560	1450	1528	2240	1698	422	1139	1310	2124	150	133	147	413	414	28	389	499	497	847	278	419	370	680	518	667
B4U62_00940	401	2476	2610	2708	4971	5657	4046	4266	4112	6137	4672	407	2776	2823	6054	347	285	197	778	607	62	325	930	735	1048	343	463	384	644	443	603
B4U62_00945	117	113	836	49	3014	162	129	79	53	236	371	162	2594	1558	430	17443	14137	2096	1514	985	6104	75	1932	1073	1197	181	306	220	123	225	287
B4U62_00950	2	1	2	0	44	0	2	3	3	4	3	3	21	13	1	78	58	11	8	14	35	0	25	6	15	2	7	5	0	2	1
B4U62_00955	1	2	1	0	12	0	0	0	0	0	0	0	3	2	5	13	7	0	0	1	6	1	1	0	0	0	3	1	3	10	8
B4U62_00960	14	11	14	10	6	1	3	7	3	2	2	17	2	2	0	2	0	0	0	3	0	19	0	2	1	4	19	67	29	32	18
B4U62_00965	81	46	50	57	13	10	11	12	5	14	6	98	6	6	8	0	2	3	6	6	0	106	2	1	3	142	167	225	168	132	124
B4U62_00970	45	40	53	57	10	11	14	14	12	14	6	61	3	4	9	2	2	0	4	9	0	68	0	0	1	26	67	69	70	49	64
B4U62_00975	7	7	6	10	1	0	2	1	2	3	0	18	0	1	2	0	0	0	1	1	0	18	0	0	0	4	7	15	5	4	9
B4U62_00980	20	5	1	6	1	0	0	1	4	0	1	11	1	0	0	0	0	0	0	0	0	17	0	0	0	3	8	8	10	1	6
B4U62_00985	193	69	88	84	25	15	17	14	17	29	3	170	16	17	12	5	3	4	11	24	2	218	0	2	2	68	154	166	122	83	86
B4U62_00990	4	2	6	3	1	1	1	1	2	1	2	7	9	5	0	61	56	1	2	2	24	2	2	6	0	0	8	3	4	3	1
B4U62_00995	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0
B4U62_01000	0	2	0	0	3	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	1	1
B4U62_01005	0	0	1	0	1	0	0	0	0	1	0	0	1	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
B4U62_01010	0	0	1	0	0	2	1	0	0	0	8	0	17	18	1	330	140	0	0	0	105	0	9	13	3	0	0	0	0	0	0
B4U62_01015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0
B4U62_01020	42	66	47	63	49	78	41	43	39	44	38	48	40	31	45	4	0	3	6	21	2	42	4	1	18	20	20	23	55	31	42
B4U62_01025	2558	1076	897	892	806	610	586	675	509	807	636	2391	343	474	757	148	169	235	618	564	42	2241	608	485	889	788	934	883	1369	935	1458
B4U62_01030	1723	1863	1683	1813	2022	2034	1544	1652	1386	2075	1909	2091	1243	1370	1665	408	546	451	1048	928	45	1587	924	708	1198	770	933	825	1623	1124	1664
B4U62_01035	376	3758	3126	3026	1240	985	804	443	427	531	514	342	322	404	671	81	114	92	428	400	19	338	487	355	529	1159	954	1078	2908	2428	2972
B4U62_01040	808	6220	5008	5146	2020	1432	1171	703	638	871	828	691	542	629	1120	239	329	180	698	677	34	558	749	521	834	1861	1503	1931	5042	4216	5379
B4U62_01045	959	9123	7216	7441	2981	2095	1915	961	910	1097	1122	862	799	936	1550	340	448	342	1366	1189	80	741	3425	2705	3897	4893	3684	4303	7686	6273	7543
B4U62_01050	1842	18613	14307	14786	6195	4380	3657	1761	1678	2125	2098	1741	1380	1606	2750	246	248	703	2348	2526	177	1322	5705	3722	5558	13864	10623	12277	14976	12647	14468
B4U62_01055	429	1696	1266	1341	1104	1008	835	472	394	574	661	434	463	449	1185	162	187	495	584	945	65	393	844	684	973	1870	1502	1584	1510	1112	1306
B4U62_01060	241	4470	5154	4750	11241	9132	7071	6657	5714	8163	7993	295	9877	9424	6783	1100	1112	972	2805	1958	92	215	8053	5785	9967	652	453	503	450	317	414
B4U62_01065	432	5461	6183	5689	12723	10302	7899	7522	6642	9355	9380	399	13007	12846	8839	1936	2112	1132	3541	2394	125	357	7976	5597	9646	1049	705	907	565	433	595
B4U62_01070	328	3817	4471	4077	9480	7987	5860	5590	4865	6938	7054	368	9808	9093	6728	1632	1519	886	2787	1878	102	290	4391	3196	5443	666	462	559	366	278	454
B4U62_01075	377	3945	4332	4165	9396	7437	5856	5583	4931	6984	7001	434	9736	8881	6514	1744	1881	898	2666	1864	85	308	2638	2019	3704	963	622	755	380	311	472
B4U62_01080	429	2516	2957	2793	6167	5227	4023	3582	3446	4733	5323	491	6733	6405	4109	1040	1014	460	1512	887	37	369	364	288	498	896	537	737	376	269	393
B4U62_01085	1011	4200	5101	4496	9103	7864	6253	5558	5407	7409	7767	1065	9075	8743	5563	1250	1265	648	1926	1331	77	900	402	405	591	1495	890	1268	941	604	878
B4U62_01090	161	230	248	226	265	207	194	185	138	197	316	226	213	265	320	63	52	77	213	110	10	171	90	98	114	638	443	474	236	164	234
B4U62_01095	384	499	444	452	400	331	254	268	234	357	531	443	330	361	501	73	94	101	338	186	13	348	42	45	50	862	576	747	428	336	449
B4U62_01100	10	5	5	4	10	8	3	2	6	6	10	9	1	3	11	1	2	2	3	11	0	8	1	0	1	8	7	49	5	6	5
B4U62_01105	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
B4U62_01110	21	12	21	23	2	1	5	6	2	1	1	16	1	6	1	0	0	0	2	1	0	16	0	2	0	17	28	84	22	14	22
B4U62_01115	28	7	4	15	2	2	5	2	1	5	3	39	3	0	2	1	1	2	4	4	0	36	0	2	1	28	39	88	31	31	20
B4U62_01120	44	48	40	57	11	18	11	12	8	15	10	47	8	14	8	6	4	7	6	5	0	53	0	0	4	34	35	62	59	32	50
B4U62_01125	7609	22054	18546	16899	18499	17441	13512	16202	12841	19721	24064	9546	12309	13743	9095	552	501	2203	5604	6616	224	6832	11381	8411	12569	4778	5221	4871	11793	7940	11504
B4U62_01130	9147	25522	21214	21136	21865	20060	15326	16724	12523	20831	27638	12118	16800	17514	11201	1043	1425	2987	7186	8479	325	8857	15060	12685	17454	6194	6943	6627	15512	10176	14206
B4U62_01135	3843	3597	3193	3567	2718	2474	2191	1917	1918	2535	2151	4241	1265	1511	1969	115	152	335	1045	1038	79	3462	301	257	358	2040	2363	2770	4900	3052	4161
B4U62_01140	6565	6292	5653	5905	5172	4650	3696	4280	3544	5823	4286	6788	2614	3000	4823	252	288	676	2029	1708	163	5686	1431	1018	1605	4123	4120	4361	6331	4063	5916
B4U62_01145	8291	6386	5986	5683	4936	3895	3240	4275	3443	5015	3665	9010	2080	2465	3605	290	378	378	1454	1292	99	7116	1506	1103	1736	3513	3588	3983	6657	4486	6864
B4U62_01150	62676	54892	47343	48708	70807	54071	46398	38491	31671	44422	59475	75498	54966	57401	43796	12195	14959	26060	74718	63188	2805	55926	24228	15478	28529	128855	85820	94926	65526	45826	60505
B4U62_01155	476	1074	1037	1151	1810	1803	1438	1198	1215	1605	1698	540	1140	1151	1411	53	31	60	256	369	23	444	143	129	346	193	218	241	500	293	438
B4U62_01160	48	89	115	88	135	147	120	107	102	134	137	69	98	90	121	10	3	13	37	41	5	48	50	58	118	32	34	27	68	39	60
B4U62_01165	98	137	101	138	185	181	140	133	121	167	155	111	108	119	156	9	10	25	42	80	0	96	205	170	258	83	88	54	105	64	98
B4U62_01170	1003	574	712	773	478	509	318	288	312	393	450	971	430	435	572	68	80	196	310	416	31	1041	276	217	370	93	116	106	615	233	274
B4U62_01175	1377	825	956	1118	498	456	359	313	272	456	417	1415	349	315	581	74	88	99	234	284	15	1377	504	453	643	386	301	260	618	204	279
B4U62_01180	295	178	205	230	104	102	110	61	50	85	99	309	98	76	141	14	5	25	31	87	9	284	90	74	143	74	62	54	122	53	64
B4U62_01185	194	69	104	119	79	79	57	55	42	66	47	189	61	56	70	6	4	17	26	59	4	194	31	29	47	21	29	30	60	23	45
B4U62_01190	537	278	287	307	400	257	314	136	163	186	144	577	136	162	215	22	20	46	89	151	15	498	28	22	154	62	79	49	224	130	173
B4U62_01195	3129	4845	4455	5396	1259	738	797	578	477	672	540	3123	290	536	266	8	15	147	405	541	23	3286	26	16	33	4108	10231	13968	12184	8232	8061
B4U62_01200	755	1158	1145	1086	1094	1019	837	1043	816	1261	1185	880	666	785	1166	175	153	299	711	679	35	723	1135	965	1672	409	454	434	1019	635	1093
B4U62_01205	23	23	26	34	23	38	17	31	24	39	25	18	34	30	35	14	12	10	11	14	2	12	11	6	26	7	15	15	26	13	23
B4U62_01210	95	11415	14588	12447	23520	19850	18330	17074	13233	20604	11663	114	7785	10159	7296	150	138	311	963	1530	93	95	2389	1608	2666	224	182	245	429	226	350
B4U62_01215	77	1588	1750	1447	3281	2228	2072	1742	1404	1584	2220	62	1870	1787	846	61	40	62	198	235	19	43	90	92	224	183	145	148	221	124	149
B4U62_01220	441	2399	2673	2379	4441	2945	2811	2251	1771	2247	2838	447	2439	2485	1723	139	119	148	427	469	25	388	89	92	183	271	314	290	769	447	717
B4U62_01225	428	1916	2270	1836	3033	2373	2121	1370	1100	1446	2430	395	1621	1827	1251	103	84	125	414	388	13	324	257	189	366	365	292	350	582	412	598
B4U62_01230	617	2754	3278	2338	3760	2743	2427	2018	1530	2028	2457	535	1877	2139	1619	158	143	175	561	598	27	437	172	141	334	350	383	371	876	572	867
B4U62_01235	132	689	837	548	901	744	591	478	406	534	557	134	316	391	348	20	16	27	115	130	1	92	47	36	98	125	98	96	181	136	169
B4U62_01240	384	1472	1617	1446	2161	1620	1324	797	694	879	908	365	718	884	553	38	27	58	190	254	23	336	104	93	173	207	233	259	771	481	483
B4U62_01245	276	313	349	298	317	226	180	186	148	215	167	330	157	183	250	27	28	32	99	113	10	274	73	76	173	210	218	196	297	191	293
B4U62_01250	148	176	217	125	162	129	134	133	107	142	138	161	93	112	117	13	16	18	70	56	2	125	119	108	211	122	122	94	121	74	171
B4U62_01255	292	328	346	248	289	238	220	197	167	275	181	358	156	193	218	41	45	47	114	110	7	232	139	121	248	196	193	195	216	174	265
B4U62_01260	1422	816	817	893	637	568	499	387	393	575	724	1829	332	361	558	45	60	94	196	288	14	1532	28	33	57	1214	1114	1326	909	576	811
B4U62_01265	385	532	441	465	467	490	365	311	271	459	373	420	282	314	363	42	42	72	192	183	14	336	126	122	229	211	237	209	473	279	458
B4U62_01270	554	2561	2389	2395	2620	2079	1754	1349	1164	1573	2086	635	1214	1494	953	68	60	87	319	363	25	465	118	83	186	1541	1405	1782	2817	1587	2472
B4U62_01275	882	737	743	657	594	519	387	490	400	616	547	1014	341	610	328	21	15	66	142	182	5	765	142	125	283	1946	1894	1550	1468	1142	1722
B4U62_01280	5948	4600	4407	4167	3408	2516	2104	3614	2384	3939	3969	6758	1857	3085	2134	181	289	403	858	863	61	5164	554	412	727	2046	2651	1979	4602	3875	5912
B4U62_01285	15	152	118	158	270	358	198	251	270	352	209	18	143	130	143	7	3	11	39	25	6	11	9	13	10	5	11	9	36	36	42
B4U62_01290	3	76	73	88	154	225	166	188	160	301	155	14	119	99	96	10	4	14	22	25	7	12	3	11	14	5	10	6	19	14	25
B4U62_01295	469	751	694	730	793	786	592	659	493	649	826	539	617	609	446	157	222	162	365	410	13	349	387	317	554	450	421	415	499	300	473
B4U62_01300	422	4535	4858	2997	5924	7608	6009	4718	5188	7306	4637	268	5028	5807	13547	4199	5412	9964	10232	20273	848	220	3876	3930	4188	854	486	516	268	168	239
B4U62_01305	2761	39250	36579	28220	62946	86205	59781	55673	59015	84121	50612	1552	47335	60706	125566	6818	6486	40683	63711	121773	5490	963	47744	40588	43074	8872	5472	6243	1498	1177	1022
B4U62_01310	35268	6927	6052	5843	3144	2887	2319	3147	2659	4097	1973	31434	1102	1637	5535	868	1150	3563	5754	7077	339	28366	1823	1520	2098	12669	13892	13848	13941	10367	16600
B4U62_01315	6687	2869	2481	2436	2554	1678	1596	1125	959	1256	857	5288	522	931	959	184	254	170	508	539	28	5390	299	212	394	5275	3853	3961	2877	2267	3000
B4U62_01320	8263	2720	2486	2559	2772	2097	1904	1461	1428	1828	1368	6384	1291	1490	1588	329	501	242	549	571	19	6620	98	58	123	3828	3074	2992	3186	2600	3705
B4U62_01325	516	152	221	207	234	206	187	132	137	170	147	378	138	134	108	13	15	15	33	28	1	451	8	4	12	203	210	231	286	186	213
B4U62_01330	24	78	78	90	134	161	133	122	146	176	139	28	126	120	105	6	7	6	7	30	2	32	13	11	74	9	19	18	34	22	28
B4U62_01335	139	175	240	143	219	232	173	240	209	267	193	113	238	224	151	27	26	24	44	77	5	95	117	88	219	231	219	186	95	74	99
B4U62_01340	367	414	408	360	386	324	265	288	268	374	401	390	439	358	360	124	147	85	209	168	10	318	1221	913	1581	581	474	534	343	204	316
B4U62_01345	503	295	296	301	288	368	296	157	195	253	249	521	112	125	159	1	2	15	29	83	7	486	11	13	37	15	146	49	469	254	300
B4U62_01350	1267	928	794	793	615	691	613	473	431	664	477	1280	220	347	517	9	12	41	190	276	39	1208	76	120	198	156	536	310	1196	780	914
B4U62_01355	3251	3203	3500	3315	3060	2649	2087	1214	1280	1959	2033	3157	1490	1527	1523	189	173	377	988	1204	59	2683	319	284	500	6313	4765	5479	2665	1824	1904
B4U62_01360	657	618	527	552	600	480	394	511	421	646	684	722	470	482	622	163	145	155	516	373	14	631	190	153	197	442	461	366	443	302	450
B4U62_01365	475	596	520	467	528	480	336	526	424	647	706	521	461	502	570	106	132	163	478	370	11	374	147	139	291	672	630	545	394	309	352
B4U62_01370	9509	3341	2989	2751	1542	1251	1105	1560	1152	1694	1340	11814	629	903	776	187	307	411	675	752	35	7274	259	188	446	2246	2231	2541	4928	3003	5333
B4U62_01375	4378	14424	12371	13248	22339	20290	15607	19839	16896	27403	16410	4930	13695	13593	24926	3490	4105	3477	10820	8391	369	3732	3054	2456	3718	3395	2699	3836	5147	3194	4455
B4U62_01380	1314	3936	3600	3804	6093	6065	4643	5516	4987	7792	4496	1327	3397	3490	6652	1074	1197	923	2277	1889	132	1108	1068	846	1223	814	668	874	1302	765	1218
B4U62_01385	1778	2585	2501	2458	1704	1410	1098	2025	1547	2462	1468	2060	798	1154	1662	83	98	193	657	645	38	1685	143	127	316	1446	1681	1772	3374	2235	3671
B4U62_01390	3103	2666	2436	2444	2082	1898	1515	2245	1734	2888	2266	3612	1275	1526	1693	195	213	349	892	799	26	2966	359	314	447	1620	2231	2258	3412	2223	3408
B4U62_01395	1684	1402	1178	1309	1017	871	755	1108	830	1302	1063	1819	495	632	808	54	43	134	376	354	20	1451	427	344	563	1141	1528	1561	2012	1398	2105
B4U62_01400	4549	3320	2540	2904	2459	2065	1653	2582	1796	3149	2575	5279	1414	1688	1802	262	363	337	906	843	69	4000	1485	1114	1801	2440	2690	2744	4105	2854	4757
B4U62_01405	296	280	287	279	187	158	143	185	138	224	157	329	89	106	141	13	17	21	61	68	3	261	57	49	89	184	275	248	394	260	352
B4U62_01410	358	5209	3685	3761	3342	2710	2171	2605	1907	2975	5179	347	3594	3721	1184	143	183	314	1089	752	64	259	3650	3474	3389	2175	1628	1635	2052	1458	1879
B4U62_01415	306	2022	1692	1512	1508	1183	983	1113	899	1380	1529	307	1040	1188	471	46	32	77	282	283	8	219	551	481	754	840	870	805	1059	715	1007
B4U62_01420	6353	8099	7120	7300	5734	5151	4111	4308	3593	5144	5528	8309	3445	4024	2755	204	241	616	1818	1806	105	5947	2429	2029	3101	6292	5646	5878	8365	5471	7582
B4U62_01425	639	4590	4753	4287	5807	4737	3871	3763	3082	4092	8017	662	7666	7634	4825	1752	2292	1225	3798	2453	194	476	2251	1843	2917	1551	1158	1314	1743	1178	1553
B4U62_01430	2702	877	688	748	790	604	485	877	674	785	1238	2825	622	797	478	180	207	295	394	685	22	2596	233	256	297	1338	834	1096	1646	946	1687
B4U62_01435	1434	759	642	677	772	609	564	756	548	773	871	1427	553	614	689	167	179	221	481	569	27	1269	463	372	607	822	683	710	989	604	977
B4U62_01440	322	353	322	311	325	327	298	312	314	365	313	374	214	290	425	114	134	204	322	439	12	298	331	263	461	233	226	230	270	173	281
B4U62_01445	66	99	102	97	74	68	55	69	54	76	71	111	35	29	47	6	9	15	57	50	5	72	37	22	63	43	51	64	81	57	100
B4U62_01450	4597	3200	4101	2813	4683	3624	3188	2626	2149	3014	1898	5225	1168	1402	3330	448	544	538	1608	1535	67	3494	369	301	543	1178	876	997	1003	838	1544
B4U62_01455	16574	2403	1620	1797	2476	1982	1855	974	879	1301	1540	17203	1170	1034	2306	157	241	630	1962	1045	143	15489	263	207	344	3362	2440	4173	5874	3453	6703
B4U62_01460	3496	1229	851	985	682	583	586	499	492	695	679	4259	346	356	448	79	81	70	189	197	5	3420	86	89	159	554	378	549	1424	953	1603
B4U62_01465	0	2	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1
B4U62_01470	119	88	90	70	165	133	116	109	92	177	101	48	103	88	234	32	40	66	58	112	12	69	28	17	65	72	73	58	28	16	31
B4U62_01475	56	23	29	26	39	33	26	35	34	60	23	39	48	35	63	12	23	18	25	50	2	34	10	22	62	39	23	26	16	10	21
B4U62_01480	1175	543	422	408	366	338	290	270	236	349	387	1477	206	242	422	51	58	147	322	343	27	1049	292	257	454	358	362	457	678	485	652
B4U62_01485	963	429	378	355	380	332	267	259	242	390	351	1121	223	232	439	60	79	115	309	286	22	844	166	145	251	268	260	257	460	292	518
B4U62_01490	3	0	0	0	1	0	0	0	0	0	0	3	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
B4U62_01495	52	76	111	105	169	126	102	313	271	386	320	55	486	382	189	84	98	120	443	194	68	55	297	239	460	40	19	24	25	15	27
B4U62_01500	121	144	197	171	254	254	179	506	385	570	560	126	743	543	386	166	251	181	838	423	62	88	1772	1409	2548	109	55	80	56	42	54
B4U62_01505	252	271	309	296	264	224	197	267	267	407	326	313	403	357	427	186	257	200	648	346	57	215	839	653	1238	240	187	221	228	120	249
B4U62_01510	65	188	278	223	235	238	217	237	221	290	317	64	377	335	625	202	258	236	766	451	61	57	1095	891	1632	26	24	26	32	27	45
B4U62_01515	800	830	812	753	622	550	403	662	546	1029	703	980	481	582	926	140	116	216	767	446	53	618	1085	805	1350	267	302	312	714	458	750
B4U62_01520	227	487	507	498	684	491	443	638	461	739	769	240	667	692	1276	416	525	350	1270	751	95	175	3815	3144	5636	119	84	97	214	142	258
B4U62_01525	4499	6894	6247	6113	7781	6447	4927	6842	5305	8594	7859	4908	5860	6148	6799	811	871	1131	3334	2483	219	3750	5809	4353	7366	3956	3843	3784	6921	4528	6660
B4U62_01530	102	49	43	35	43	39	32	36	25	61	32	102	19	24	51	7	21	9	23	14	4	75	76	81	181	57	50	48	62	39	65
B4U62_01535	567	232	211	211	196	213	164	236	170	321	175	621	144	161	233	40	42	59	65	95	14	452	882	608	1152	359	322	276	290	210	288
